"BaseIdentifier","Action","FolderName","KeptFolder","Status","Error"
"a8b_Blue_Max_2001","WOULD DELETE","a8b_Blue_Max_2001_1984_Synapse_Software_US_h_Yogi_Bruce_k_file","a8b_Blue_Max_2001_1984_Synapse_Software_US_h_Yogi_Bruce_a_k_file","Dry Run",""
"a8b_Blue_Max_2001","WOULD DELETE","a8b_Blue_Max_2001_1985_Synapse_Software_US_h","a8b_Blue_Max_2001_1984_Synapse_Software_US_h_Yogi_Bruce_a_k_file","Dry Run",""
"a8b_Blue_Max_2001","WOULD DELETE","a8b_Blue_Max_2001_1985_Synapse_Software_US_h_k_file","a8b_Blue_Max_2001_1984_Synapse_Software_US_h_Yogi_Bruce_a_k_file","Dry Run",""
"a8b_Invasion_1987_Bulldog","WOULD DELETE","a8b_Invasion_1987_Bulldog_Software_GB_cr_Mr._Bacardi","a8b_Invasion_1987_Bulldog_Software_GB_cr_L.P.S._k_file","Dry Run",""
"a8b_Invasion_1987_Bulldog","WOULD DELETE","a8b_Invasion_1987_Bulldog_Software_GB_cr_Mr._Bacardi_k_file","a8b_Invasion_1987_Bulldog_Software_GB_cr_L.P.S._k_file","Dry Run",""
"a8b_Invasion_1987_Bulldog","WOULD DELETE","a8b_Invasion_1987_Bulldog_Software_GB_k_file","a8b_Invasion_1987_Bulldog_Software_GB_cr_L.P.S._k_file","Dry Run",""
"zx_Hong_Kong_Phooey","WOULD DELETE","zx_Hong_Kong_Phooey_1990_Hi_Tec_Software_a","zx_Hong_Kong_Phooey_1990_Hi_Tec_Software","Dry Run",""
"zx_Hong_Kong_Phooey","WOULD DELETE","zx_Hong_Kong_Phooey_1990_Hi_Tec_Software_a2","zx_Hong_Kong_Phooey_1990_Hi_Tec_Software","Dry Run",""
"a8b_Gateway_to_Apshai","WOULD DELETE","a8b_Gateway_to_Apshai_1983_Epyx_US_a_k_file","a8b_Gateway_to_Apshai_1983_Epyx_US","Dry Run",""
"a8b_Gateway_to_Apshai","WOULD DELETE","a8b_Gateway_to_Apshai_1983_Epyx_US_k_file","a8b_Gateway_to_Apshai_1983_Epyx_US","Dry Run",""
"zx_Pro_Skateboard_Simulator","WOULD DELETE","zx_Pro_Skateboard_Simulator_1989_Codemasters_128K","zx_Pro_Skateboard_Simulator_1989_Codemasters","Dry Run",""
"zx_Pro_Skateboard_Simulator","WOULD DELETE","zx_Pro_Skateboard_Simulator_1989_Codemasters_a","zx_Pro_Skateboard_Simulator_1989_Codemasters","Dry Run",""
"zx_Ballblazer_1986_Activision","WOULD DELETE","zx_Ballblazer_1986_Activision_128K","zx_Ballblazer_1986_Activision","Dry Run",""
"zx_Las_Vegas_Jackpot","WOULD DELETE","zx_Las_Vegas_Jackpot_1984_Mastertronic_a","zx_Las_Vegas_Jackpot_1984_Mastertronic","Dry Run",""
"zx_Deactivators_1986_Reaktor","WOULD DELETE","zx_Deactivators_1986_Reaktor_128K","zx_Deactivators_1986_Reaktor","Dry Run",""
"zx_Deactivators_1986_Reaktor","WOULD DELETE","zx_Deactivators_1986_Reaktor_a","zx_Deactivators_1986_Reaktor","Dry Run",""
"zx_Deactivators_1986_Reaktor","WOULD DELETE","zx_Deactivators_1986_Reaktor_a_128K","zx_Deactivators_1986_Reaktor","Dry Run",""
"zx_Deactivators_1986_Reaktor","WOULD DELETE","zx_Deactivators_1986_Reaktor_a2_128K","zx_Deactivators_1986_Reaktor","Dry Run",""
"zx_G_LOC_1992","WOULD DELETE","zx_G_LOC_1992_U.S._Gold_128K_needs_tape_load","zx_G_LOC_1992_U.S._Gold_128K","Dry Run",""
"zx_Astro_Marine_Corps","WOULD DELETE","zx_Astro_Marine_Corps_1989_Dinamic_Software_es_Part_1_of_2_128K","zx_Astro_Marine_Corps_1989_Dinamic_Software_es_Part_1_of_2","Dry Run",""
"zx_Astro_Marine_Corps","WOULD DELETE","zx_Astro_Marine_Corps_1989_Dinamic_Software_es_Part_1_of_2_a","zx_Astro_Marine_Corps_1989_Dinamic_Software_es_Part_1_of_2","Dry Run",""
"zx_Astro_Marine_Corps","WOULD DELETE","zx_Astro_Marine_Corps_1989_Dinamic_Software_es_Part_1_of_2_a_128K","zx_Astro_Marine_Corps_1989_Dinamic_Software_es_Part_1_of_2","Dry Run",""
"zx_Astro_Marine_Corps","WOULD DELETE","zx_Astro_Marine_Corps_1989_Dinamic_Software_es_Part_1_of_2_a2","zx_Astro_Marine_Corps_1989_Dinamic_Software_es_Part_1_of_2","Dry Run",""
"zx_Astro_Marine_Corps","WOULD DELETE","zx_Astro_Marine_Corps_1989_Dinamic_Software_es_Part_1_of_2_a3","zx_Astro_Marine_Corps_1989_Dinamic_Software_es_Part_1_of_2","Dry Run",""
"zx_Astro_Marine_Corps","WOULD DELETE","zx_Astro_Marine_Corps_1989_Dinamic_Software_es_Part_1_of_2_a4","zx_Astro_Marine_Corps_1989_Dinamic_Software_es_Part_1_of_2","Dry Run",""
"zx_Astro_Marine_Corps","WOULD DELETE","zx_Astro_Marine_Corps_1989_Dinamic_Software_es_Part_1_of_2_a5","zx_Astro_Marine_Corps_1989_Dinamic_Software_es_Part_1_of_2","Dry Run",""
"zx_Astro_Marine_Corps","WOULD DELETE","zx_Astro_Marine_Corps_1989_Dinamic_Software_es_Part_2_of_2","zx_Astro_Marine_Corps_1989_Dinamic_Software_es_Part_1_of_2","Dry Run",""
"zx_Astro_Marine_Corps","WOULD DELETE","zx_Astro_Marine_Corps_1989_Dinamic_Software_es_Part_2_of_2_128K","zx_Astro_Marine_Corps_1989_Dinamic_Software_es_Part_1_of_2","Dry Run",""
"zx_Astro_Marine_Corps","WOULD DELETE","zx_Astro_Marine_Corps_1989_Dinamic_Software_es_Part_2_of_2_a","zx_Astro_Marine_Corps_1989_Dinamic_Software_es_Part_1_of_2","Dry Run",""
"zx_Astro_Marine_Corps","WOULD DELETE","zx_Astro_Marine_Corps_1989_Dinamic_Software_es_Part_2_of_2_a_128K","zx_Astro_Marine_Corps_1989_Dinamic_Software_es_Part_1_of_2","Dry Run",""
"zx_Astro_Marine_Corps","WOULD DELETE","zx_Astro_Marine_Corps_1989_Dinamic_Software_es_Part_2_of_2_a2","zx_Astro_Marine_Corps_1989_Dinamic_Software_es_Part_1_of_2","Dry Run",""
"zx_Astro_Marine_Corps","WOULD DELETE","zx_Astro_Marine_Corps_1989_Dinamic_Software_Part_1_of_2_128K","zx_Astro_Marine_Corps_1989_Dinamic_Software_es_Part_1_of_2","Dry Run",""
"zx_Astro_Marine_Corps","WOULD DELETE","zx_Astro_Marine_Corps_1989_Dinamic_Software_Part_2_of_2_128K","zx_Astro_Marine_Corps_1989_Dinamic_Software_es_Part_1_of_2","Dry Run",""
