"BaseIdentifier","Action","FolderName","KeptFolder","Status","Error"
"zx_Visions_Snooker_1983","DELETE","zx_Visions_Snooker_1983_Visions_Software_Factory_a3_16K","zx_Visions_Snooker_1983_Visions_Software_Factory_16K","Deleted",""
"zx_Ket_Trilogy_III","DELETE","zx_Ket_Trilogy_III_The_Final_Mission_1984_Incentive_Software_a","zx_Ket_Trilogy_III_The_Final_Mission_1984_Incentive_Software","Deleted",""
"zx_Ket_Trilogy_III","DELETE","zx_Ket_Trilogy_III_The_Final_Mission_1984_Incentive_Software_a2","zx_Ket_Trilogy_III_The_Final_Mission_1984_Incentive_Software","Deleted",""
"zx_Action_Fighter_1989","DELETE","zx_Action_Fighter_1989_Firebird_Software_128K","zx_Action_Fighter_1989_Firebird_Software","Deleted",""
"zx_Action_Fighter_1989","DELETE","zx_Action_Fighter_1989_Firebird_Software_a","zx_Action_Fighter_1989_Firebird_Software","Deleted",""
"zx_Motos_1987_Mastertronic","DELETE","zx_Motos_1987_Mastertronic_Added_Dimension_a_128K","zx_Motos_1987_Mastertronic_Added_Dimension","Deleted",""
"zx_Motos_1987_Mastertronic","DELETE","zx_Motos_1987_Mastertronic_Added_Dimension_a2_128K","zx_Motos_1987_Mastertronic_Added_Dimension","Deleted",""
"a8b_Pogo_Joe_1983","DELETE","a8b_Pogo_Joe_1983_ScreenPlay_US_cr_Byte_Breaker","a8b_Pogo_Joe_1983_ScreenPlay_US_a_k_file","Deleted",""
"a8b_Pogo_Joe_1983","DELETE","a8b_Pogo_Joe_1983_ScreenPlay_US_k_file","a8b_Pogo_Joe_1983_ScreenPlay_US_a_k_file","Deleted",""
"zx_Postman_Pat_2","DELETE","zx_Postman_Pat_2_1989_Alternative_Software_a","zx_Postman_Pat_2_1989_Alternative_Software","Deleted",""
"zx_Temple_of_Terror","DELETE","zx_Temple_of_Terror_1987_Adventuresoft_UK_a","zx_Temple_of_Terror_1987_Adventuresoft_UK","Deleted",""
