"BaseIdentifier","Action","FolderName","KeptFolder","Status","Error"
"a8b_Moon_Shuttle_1983","WOULD DELETE","a8b_Moon_Shuttle_1983_Datasoft_US_t","a8b_Moon_Shuttle_1983_Datasoft_US_k_file","Dry Run",""
"a8b_Centipede_198x_Atari","WOULD DELETE","a8b_Centipede_198x_Atari_US_a_5200_k_file","a8b_Centipede_198x_Atari_US_5200_k_file","Dry Run",""
"a8b_Centipede_198x_Atari","WOULD DELETE","a8b_Centipede_198x_Atari_US_h_Glenn_5200","a8b_Centipede_198x_Atari_US_5200_k_file","Dry Run",""
"a8b_Centipede_198x_Atari","WOULD DELETE","a8b_Centipede_198x_Atari_US_h_Glenn_5200_k_file","a8b_Centipede_198x_Atari_US_5200_k_file","Dry Run",""
"a8b_Centipede_198x_Atari","WOULD DELETE","a8b_Centipede_198x_Atari_US_h_Glenn_a_5200_k_file","a8b_Centipede_198x_Atari_US_5200_k_file","Dry Run",""
"a8b_James_Bond_007","WOULD DELETE","a8b_James_Bond_007_1984_Parker_Brothers_US_a2_k_file","a8b_James_Bond_007_1984_Parker_Brothers_US_a_k_file","Dry Run",""
"a8b_James_Bond_007","WOULD DELETE","a8b_James_Bond_007_1984_Parker_Brothers_US_a3_k_file","a8b_James_Bond_007_1984_Parker_Brothers_US_a_k_file","Dry Run",""
"a8b_James_Bond_007","WOULD DELETE","a8b_James_Bond_007_1984_Parker_Brothers_US_a4_k_file","a8b_James_Bond_007_1984_Parker_Brothers_US_a_k_file","Dry Run",""
"a8b_James_Bond_007","WOULD DELETE","a8b_James_Bond_007_1984_Parker_Brothers_US_k_file","a8b_James_Bond_007_1984_Parker_Brothers_US_a_k_file","Dry Run",""
"a8b_James_Bond_007","WOULD DELETE","a8b_James_Bond_007_1984_Parker_Brothers_US_t","a8b_James_Bond_007_1984_Parker_Brothers_US_a_k_file","Dry Run",""
"a8b_Buck_Rodgers_1983","WOULD DELETE","a8b_Buck_Rodgers_1983_Sega_US_a_k_file","a8b_Buck_Rodgers_1983_Sega_US","Dry Run",""
"a8b_Buck_Rodgers_1983","WOULD DELETE","a8b_Buck_Rodgers_1983_Sega_US_k_file","a8b_Buck_Rodgers_1983_Sega_US","Dry Run",""
