"Action","FolderName","FromPath","ToPath","Year","Status"
"MOVE","3d0g_014a_Lunar_Leeper","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\3d0g_014a_Lunar_Leeper","..\thumbnails-deduped\1982\3d0g_014a_Lunar_Leeper","1982","Success"
"MOVE","3d0g_147a_Pitstop_II","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\3d0g_147a_Pitstop_II","..\thumbnails-deduped\1984\3d0g_147a_Pitstop_II","1984","Success"
"MOVE","3D_Breakout_1987_M.W._Gallon","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\3D_Breakout_1987_M.W._Gallon","..\thumbnails-deduped\1987\3D_Breakout_1987_M.W._Gallon","1987","Success"
"MOVE","3D_Glooper_1984_Supersoft","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\3D_Glooper_1984_Supersoft","..\thumbnails-deduped\1984\3D_Glooper_1984_Supersoft","1984","Success"
"MOVE","3D_Scacchi_Simulator_1991_Simulmondo_h_BZ","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\3D_Scacchi_Simulator_1991_Simulmondo_h_BZ","..\thumbnails-deduped\1991\3D_Scacchi_Simulator_1991_Simulmondo_h_BZ","1991","Success"
"MOVE","3D_Skramble_1984_Livewire","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\3D_Skramble_1984_Livewire","..\thumbnails-deduped\1984\3D_Skramble_1984_Livewire","1984","Success"
"MOVE","3D_Tic_Tac_Toe_1984_Radarsoft","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\3D_Tic_Tac_Toe_1984_Radarsoft","..\thumbnails-deduped\1984\3D_Tic_Tac_Toe_1984_Radarsoft","1984","Success"
"MOVE","3D_Time_Trek_1985_Anirog_Software","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\3D_Time_Trek_1985_Anirog_Software","..\thumbnails-deduped\1985\3D_Time_Trek_1985_Anirog_Software","1985","Success"
"MOVE","3D_Waterski_1984_Alligata_Software","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\3D_Waterski_1984_Alligata_Software","..\thumbnails-deduped\1984\3D_Waterski_1984_Alligata_Software","1984","Success"
"MOVE","3_D_OXO_1986_Alpha_Software","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\3_D_OXO_1986_Alpha_Software","..\thumbnails-deduped\1986\3_D_OXO_1986_Alpha_Software","1986","Success"
"MOVE","4games_c64","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\4games_c64","..\thumbnails-deduped\1983\4games_c64","1983","Success"
"MOVE","4x4_Off-Road_Racing_1988_US_Gold_cr_Le_Fay_t_Le_Fay","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\4x4_Off-Road_Racing_1988_US_Gold_cr_Le_Fay_t_Le_Fay","..\thumbnails-deduped\1988\4x4_Off-Road_Racing_1988_US_Gold_cr_Le_Fay_t_Le_Fay","1988","Success"
"MOVE","64-breakout","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\64-breakout","..\thumbnails-deduped\1990\64-breakout","1990","Success"
"MOVE","64BLAZE_ZIP","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\64BLAZE_ZIP","..\thumbnails-deduped\1993\64BLAZE_ZIP","1993","Success"
"MOVE","64_Nuclear_Power_Plant_1982_Creative_Computing","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\64_Nuclear_Power_Plant_1982_Creative_Computing","..\thumbnails-deduped\1982\64_Nuclear_Power_Plant_1982_Creative_Computing","1982","Success"
"MOVE","64_Sea_Battle_1988_Commodore_Magazine","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\64_Sea_Battle_1988_Commodore_Magazine","..\thumbnails-deduped\1988\64_Sea_Battle_1988_Commodore_Magazine","1988","Success"
"MOVE","64_Sub_Hunt_1988_Commodore_Magazine","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\64_Sub_Hunt_1988_Commodore_Magazine","..\thumbnails-deduped\1988\64_Sub_Hunt_1988_Commodore_Magazine","1988","Success"
"MOVE","64_Timetrial_1988_Commodore_Magazine","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\64_Timetrial_1988_Commodore_Magazine","..\thumbnails-deduped\1988\64_Timetrial_1988_Commodore_Magazine","1988","Success"
"MOVE","720_Degrees_1986_US_Gold","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\720_Degrees_1986_US_Gold","..\thumbnails-deduped\1986\720_Degrees_1986_US_Gold","1986","Success"
"MOVE","911_Tiger_Shark_1985_Elite_h_SCI","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\911_Tiger_Shark_1985_Elite_h_SCI","..\thumbnails-deduped\1985\911_Tiger_Shark_1985_Elite_h_SCI","1985","Success"
"MOVE","A-PACaLIPS_Now_1985_Sharedata_Green_Valley_Publishing","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\A-PACaLIPS_Now_1985_Sharedata_Green_Valley_Publishing","..\thumbnails-deduped\1985\A-PACaLIPS_Now_1985_Sharedata_Green_Valley_Publishing","1985","Success"
"MOVE","a-team_20220510","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\a-team_20220510","..\thumbnails-deduped\1983\a-team_20220510","1983","Success"
"MOVE","A-Team_The_1985_Courbois_Software","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\A-Team_The_1985_Courbois_Software","..\thumbnails-deduped\1985\A-Team_The_1985_Courbois_Software","1985","Success"
"MOVE","a2_Archon_1984_Electronic_Arts_cr_Midwest_Pirates_Guild_o","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\a2_Archon_1984_Electronic_Arts_cr_Midwest_Pirates_Guild_o","..\thumbnails-deduped\1984\a2_Archon_1984_Electronic_Arts_cr_Midwest_Pirates_Guild_o","1984","Success"
"MOVE","a2_asimov_arctic_fox","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\a2_asimov_arctic_fox","..\thumbnails-deduped\1986\a2_asimov_arctic_fox","1986","Success"
"MOVE","a2_asimov_batman1","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\a2_asimov_batman1","..\thumbnails-deduped\1988\a2_asimov_batman1","1988","Success"
"MOVE","a2_asimov_drol","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\a2_asimov_drol","..\thumbnails-deduped\1983\a2_asimov_drol","1983","Success"
"MOVE","a2_asimov_gi_joe_front","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\a2_asimov_gi_joe_front","..\thumbnails-deduped\1985\a2_asimov_gi_joe_front","1985","Success"
"MOVE","a2_asimov_impossiblemission2_s1","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\a2_asimov_impossiblemission2_s1","..\thumbnails-deduped\1984\a2_asimov_impossiblemission2_s1","1984","Success"
"MOVE","a2_asimov_into_the_eagles_nest","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\a2_asimov_into_the_eagles_nest","..\thumbnails-deduped\1986\a2_asimov_into_the_eagles_nest","1986","Success"
"MOVE","a2_asimov_jumpman_1","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\a2_asimov_jumpman_1","..\thumbnails-deduped\1983\a2_asimov_jumpman_1","1983","Success"
"MOVE","a2_asimov_pinball1","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\a2_asimov_pinball1","..\thumbnails-deduped\1983\a2_asimov_pinball1","1983","Success"
"MOVE","a2_asimov_pinball_construction_set","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\a2_asimov_pinball_construction_set","..\thumbnails-deduped\1983\a2_asimov_pinball_construction_set","1983","Success"
"MOVE","a2_Bank_Street_Writer_1984_Broderbund_cr_Blade","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\a2_Bank_Street_Writer_1984_Broderbund_cr_Blade","..\thumbnails-deduped\1984\a2_Bank_Street_Writer_1984_Broderbund_cr_Blade","1984","Success"
